cj,doa,dor,gender,name
False,1977-03-01,1980-11-09,M,Hon’ble Mr. Justice P.S. Kailasam
False,1977-09-30,1986-08-03,M,Hon’ble Mr. Justice V.D. Tulzapurkar
False,1977-09-30,1985-08-05,M,Hon’ble Mr. Justice D.A. Desai
False,1978-07-17,1982-06-03,M,Hon’ble Mr. Justice A.D. Koshal
False,1978-07-17,1987-09-24,M,Hon’ble Mr. Justice O. Chinnappa Reddy
False,1978-07-17,1988-09-19,M,Hon’ble Mr. Justice A.P. Sen
False,1980-04-12,1983-12-01,M,Hon’ble Mr. Justice Baharul Islam
False,1980-10-12,1985-08-16,M,Hon’ble Mr. Justice A. Varadarajan
False,1981-01-28,1985-09-30,M,Hon’ble Mr. Justice Amarendra Nath Sen
False,1981-01-30,1987-06-18,M,Hon’ble Mr. Justice V. Balakrishna Eradi
False,1981-01-30,1986-06-14,M,Hon’ble Mr. Justice R.B. Misra
False,1983-03-15,1986-06-04,M,Hon’ble Mr. Justice D.P. Madon
False,1983-03-15,1988-03-11,M,Hon’ble Mr. Justice M.P. Thakkar
False,1984-06-25,1987-06-30,M,Hon’ble Mr. Justice V. Khalid
False,1985-10-29,1989-11-12,M,Hon’ble Mr. Justice G.L. Oza
False,1985-10-29,1991-10-31,M,Hon’ble Mr. Justice B.C. Ray
False,1986-10-03,1989-10-29,M,Hon’ble Mr. Justice M.M. Dutt
False,1986-10-03,1989-10-28,M,Hon’ble Mr. Justice S. Natarajan
False,1987-01-05,1991-12-14,M,Hon’ble Mr. Justice K. Jagannatha Shetty
False,1987-05-10,1992-10-30,M,Hon’ble Mr. Justice S. Ranganathan
False,1988-01-18,1991-01-18,M,Hon’ble Mr. Justice D.N. Ojha
False,1988-12-14,1994-12-03,M,Hon’ble Mr.Justice S. Ratnavel Pandian
False,1988-12-14,1993-09-25,M,Hon’ble Dr. Justice T.K. Thommen
False,1988-12-14,1991-02-28,M,Hon’ble Mr. Justice K.N. Saikia
False,1988-12-14,1996-12-31,M,Hon’ble Mr. Justice Kuldip Singh
False,1989-06-10,1994-02-14,M,Hon’ble Mr. Justice V. Ramaswami
False,1989-06-10,1995-06-29,M,Hon’ble Mr. Justice P.B. Sawant
False,1989-06-10,1993-03-04,M,Hon’ble Mr. Justice N.M. Kasliwal
False,1989-06-10,1997-12-07,M,Hon’ble Mr. Justice K. Ramaswamy
False,1989-06-10,1992-04-29,F,Hon’ble Mr. Justice M. Fathima Beevi
False,1990-11-01,1994-07-14,M,Hon’ble Mr. Justice K. Jayachandra Reddy
False,1990-11-01,1998-04-09,M,Hon’ble Mr. Justice S.C. Agrawal
False,1990-11-01,1995-06-24,M,Hon’ble Mr.Justice R.M. Sahai
False,1991-03-22,1994-02-08,M,Hon’ble Mr. Justice Yogeshwar Dayal
False,1991-07-10,1995-10-02,M,Hon’ble Mr. Justice S. Mohan
False,1991-07-10,1997-03-13,M,Hon’ble Mr. Justice B.P. Jeevan Reddy
False,1991-07-10,1998-04-30,M,Hon’ble Mr. Justice G.N. Ray
False,1991-03-12,1992-05-30,M,Hon’ble Mr. Justice R.C. Patnaik
False,1992-06-15,1996-12-24,M,Hon’ble Mr. Justice N.P. Singh
False,1992-01-07,1995-02-07,M,Hon’ble Mr. Justice N. Venkatachala
False,1993-12-14,1998-11-30,M,Hon’ble Mr. Justice M.K. Mukherjee
False,1993-12-14,1997-04-02,M,Hon’ble Mr. Justice Faizan Uddin
False,1993-12-14,1996-12-24,M,Hon’ble Mr. Justice B.L. Hansaria
False,1994-11-06,1997-12-20,M,Hon’ble Mr. Justice S.C. Sen
False,1994-11-06,1997-11-06,M,Hon’ble Mr. Justice K.S. Paripoornan
False,1994-09-19,2000-08-19,M,Hon’ble Mr. Justice S.B. Majmudar
False,1994-08-11,1999-08-27,F,Hon’ble Ms. Justice Sujata V. Manohar
False,1995-06-03,2000-02-16,M,Hon’ble Mr. Justice G.T. Nanavati
False,1995-06-03,2000-06-30,M,Hon’ble Mr. Justice S. Saghir Ahmad
False,1995-06-03,1999-09-18,M,Hon’ble Mr. Justice K. Venkataswami
False,1996-03-29,2000-01-15,M,Hon’ble Mr. Justice S.P. Kurdukar
False,1996-03-29,2002-01-29,M,Hon’ble Mr. Justice K.T. Thomas
